id,dateOfLoss,asOfDate
88ec3df8-18a9-44f1-ae59-2bf74b5e0ea6,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
f1e43e1b-fa73-49b4-a8ad-c1c6131cdbaf,2000-10-03T00:00:00.000Z,2025-07-01T00:00:00.000Z
6b6a8942-e814-41ff-a154-730fd8e5c6cf,2010-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
05c7646e-6bd6-4fec-a540-4c4b1c25fb1a,2005-04-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
2a5b1f9b-70cf-471d-a128-bdb74c571f1b,2017-08-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
ce930e85-6df8-4ff5-aed1-ab051d1df6dd,1992-02-16T00:00:00.000Z,2025-07-01T00:00:00.000Z
330077a1-72a7-4f53-84ce-2d38b0ec8027,2012-10-30T00:00:00.000Z,2025-07-01T00:00:00.000Z
af84575c-8a3d-471e-9deb-ee407107232f,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
d1eb6e97-0e01-4435-a409-d4dfbb5bebbf,2021-09-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
abc92188-2590-4e57-bf59-22f4ddf93d18,2022-07-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
e422b991-27cb-4b20-b697-eab7ea869ee6,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
755d4948-aaff-4c0d-9e54-fba5ba7cb75b,1989-08-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
2b3034b6-5ccc-4537-bdd4-7e34d97256ed,2009-05-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
364b834e-b2de-463f-b3a6-ec101c7e38fb,2021-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
c40afe05-9108-46ce-8d0e-2d57a9d18999,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
b18b7c61-4289-4143-95de-30ebc8ba47ac,2010-03-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
7ce7871e-0967-45d4-827c-d937b79e2050,1983-08-18T00:00:00.000Z,2025-07-01T00:00:00.000Z
e08860c4-af70-49c1-8571-f7178897d9bb,1995-05-08T00:00:00.000Z,2025-07-01T00:00:00.000Z
cc07cc9a-e87f-4459-84b3-b3baa3ed3be9,1982-06-18T00:00:00.000Z,2025-07-01T00:00:00.000Z
d8e192bb-bc84-4569-9858-bdc7f5dc31e4,1996-09-05T00:00:00.000Z,2025-07-01T00:00:00.000Z
fe8fbe83-4788-490f-a060-de78d134a200,1992-08-24T00:00:00.000Z,2025-07-01T00:00:00.000Z
b1f83235-c06c-40b8-9c3c-0b404b8f8fd5,2016-01-23T00:00:00.000Z,2025-07-01T00:00:00.000Z
c3498d5b-4fad-4ac7-a802-f8cd5d8537b7,1992-08-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
0a4bb26a-aac1-414c-afd2-937ae461b6b3,1997-04-18T00:00:00.000Z,2025-07-01T00:00:00.000Z
40176620-aeea-4e42-8bec-c6f34929d968,2018-10-11T00:00:00.000Z,2025-07-01T00:00:00.000Z
a6cdd503-dab1-473c-ba46-695920401621,1987-11-27T00:00:00.000Z,2025-07-01T00:00:00.000Z
74b0ccf9-cef3-4c1e-a327-66779ff56193,2021-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
019022eb-35ce-4cd3-bf24-c79933bc4f40,2018-09-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
4535475e-61d1-4449-b20e-d2a6375c9f21,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
942f1c82-4d21-487c-910f-8cb46c948120,2017-08-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
33b8ac7e-91e9-4216-8ffd-729080476307,2023-01-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
d16b22b5-eb5f-4ba1-8ed5-dc6fbbdbacba,1987-03-31T00:00:00.000Z,2025-07-01T00:00:00.000Z
76348825-1d3c-444b-9d2d-e7e5e955d15a,2011-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
6ebe9e8c-05d7-42af-b945-6f4ddf81de9a,1993-10-18T00:00:00.000Z,2025-07-01T00:00:00.000Z
8f26b87a-65bd-4d2c-a052-f584cc0cb81d,2016-08-14T00:00:00.000Z,2025-07-01T00:00:00.000Z
74241f22-9c05-4d05-b449-7f0109744a93,2010-08-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
b2911490-7e38-4336-bcd2-1a88c2d03343,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
f31c8cee-3a8d-4ffe-9f7d-362f8bf63d6f,1995-02-16T00:00:00.000Z,2025-07-01T00:00:00.000Z
75f08258-ca84-42aa-b4ed-74612e22c766,2016-08-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
e56dac15-9f13-4fea-887a-cc946a2335c8,2012-08-27T00:00:00.000Z,2025-07-01T00:00:00.000Z
a930bcee-6259-4c17-b02d-aec846e6bb7f,2009-09-20T00:00:00.000Z,2025-07-01T00:00:00.000Z
e51e7540-dfff-43f8-90b4-22eec61ac6e5,1989-09-22T00:00:00.000Z,2025-07-01T00:00:00.000Z
368a3837-4902-414b-8447-7db033f06a0e,2024-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
2ca83473-e2b2-4772-acbb-1ee4406d3b24,2020-07-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
b3de44fe-3a99-4eaa-abce-016afd4dd1a5,1999-04-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
1499ed21-2749-4fe5-bf26-cd43e9c2e82d,2011-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
c9fc5b59-bcdc-4b38-ba5f-d5ec6018b5ba,1999-10-15T00:00:00.000Z,2025-07-01T00:00:00.000Z
631e6d34-85bf-43d6-b909-2e75fb0fd4bf,1997-08-15T00:00:00.000Z,2025-07-01T00:00:00.000Z
213aa23e-12e7-4b61-b6f6-35dd1301ca69,2024-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
268596dd-96b6-4f32-bfe5-45af8f975b85,2002-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
b7b2b58b-8476-4103-939a-0f17e184cac8,1995-05-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
3c2e5edb-a4b3-4c0c-8193-f19294d1aa64,1998-09-11T00:00:00.000Z,2025-07-01T00:00:00.000Z
2326526f-b2dc-4b76-ad5e-038de12486d2,2018-01-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
1d3f2e32-2def-411d-96d6-e90e06818a4b,1995-04-22T00:00:00.000Z,2025-07-01T00:00:00.000Z
1eb5643a-9258-4534-a04b-fa1300a26155,2024-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
da8a9b1a-e998-48cf-b1f8-7c9c4b268c92,1983-09-19T00:00:00.000Z,2025-07-01T00:00:00.000Z
4e7c9994-582a-4bbb-b2a4-cf4fc3319f10,2010-01-20T00:00:00.000Z,2025-07-01T00:00:00.000Z
55109d5b-076c-439e-b440-5494814f0248,2016-10-08T00:00:00.000Z,2025-07-01T00:00:00.000Z
3f6d0012-72d9-4f96-baa1-98cc53016e10,1995-10-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
883e8a4c-1cd2-4f0b-831f-7fe09401b203,1983-04-09T00:00:00.000Z,2025-07-01T00:00:00.000Z
b1a27090-be86-46e8-8d64-b41093db8595,2013-10-03T00:00:00.000Z,2025-07-01T00:00:00.000Z
08b5cb29-6929-4395-bc35-0c92688a52f6,1982-12-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
7077f2ce-9a23-4900-91fc-57c10dffc71d,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
e89edeff-cdbf-4d94-9d78-24ed89af4545,1981-05-12T00:00:00.000Z,2025-07-01T00:00:00.000Z
6c32d1d5-0da4-49e4-b0af-0919e231c1b7,2020-09-16T00:00:00.000Z,2025-07-01T00:00:00.000Z
356e85ce-f784-4dbc-a566-53a8fcdc3a03,2005-08-28T00:00:00.000Z,2025-07-01T00:00:00.000Z
556d407a-8d0f-4d88-b553-417ee249a376,1993-07-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
5378c600-f735-4dd8-9eb1-c7f6876abf66,1995-10-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
09122062-a344-4e40-9132-9b935cfae5a1,1998-09-21T00:00:00.000Z,2025-07-01T00:00:00.000Z
118318fb-3892-4f21-be1a-35d9df216ace,2016-06-23T00:00:00.000Z,2025-07-01T00:00:00.000Z
c9af2d83-8f8e-4c6a-bf4f-d333041a3821,1989-05-17T00:00:00.000Z,2025-07-01T00:00:00.000Z
86c13da5-9093-43cd-89a2-6f54af817a36,2002-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
1f87ea4e-a3f8-4093-9fac-c6ba49b3fe5c,2013-07-07T00:00:00.000Z,2025-07-01T00:00:00.000Z
00451243-7ce4-4817-a35f-bf15cd343038,2001-04-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
c0c20a83-ce89-4c5b-a802-d77a0d4a5ff2,1980-01-17T00:00:00.000Z,2025-07-01T00:00:00.000Z
3f9fd614-882a-4727-95d5-58f4d34a00ed,1979-02-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
6034925d-aacd-4f11-8ede-e694ad17be4f,1982-04-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
3c2d7957-e5cc-49b3-8032-7be4ec9a5fff,1986-10-01T00:00:00.000Z,2025-07-01T00:00:00.000Z
1a043f3b-5404-49bb-88a3-fccef457c33b,2002-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
9a01509b-a2c9-425b-8ecb-884366645684,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
c6815da0-d3ac-418d-8297-617d75c23ef8,2015-12-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
551993b9-01f8-4635-b020-1cf28863b3d4,2009-05-08T00:00:00.000Z,2025-07-01T00:00:00.000Z
5e4a03e8-0c89-4901-99f8-c118147a8a0a,2014-04-30T00:00:00.000Z,2025-07-01T00:00:00.000Z
fbfb87d1-a0fb-4856-9732-dea5c9be33cf,2016-03-14T00:00:00.000Z,2025-07-01T00:00:00.000Z
3503a02b-d125-47f5-88e7-8e1214fc8cf8,1999-09-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
fdbe6f9c-9b1d-4bd1-a34a-aca6525e878c,2005-08-25T00:00:00.000Z,2025-07-01T00:00:00.000Z
a195b6d0-661d-4883-9f30-2fb4fe203a0a,2001-06-08T00:00:00.000Z,2025-07-01T00:00:00.000Z
d714becf-6754-4047-82de-5e17fcf89550,2008-09-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
20ab35cc-bbb9-49b0-bb1b-64b33a476d4a,2007-08-17T00:00:00.000Z,2025-07-01T00:00:00.000Z
ae6c7199-289a-4cd5-b8bc-a07b5d03fbcb,2000-10-03T00:00:00.000Z,2025-07-01T00:00:00.000Z
628ca7d3-7745-4200-acf6-b9a2ad96750c,2005-08-31T00:00:00.000Z,2025-07-01T00:00:00.000Z
d1e337a1-06a7-416a-b644-b42977b17fd4,1997-04-22T00:00:00.000Z,2025-07-01T00:00:00.000Z
701abfd2-0e58-4a65-9b73-28bcd097c5df,2012-10-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
1c1c4e90-0b8a-4e51-b77f-e0c89cfc4614,1983-01-27T00:00:00.000Z,2025-07-01T00:00:00.000Z
b913a398-b702-42f9-96d8-0d9fe8050e8e,2005-10-11T00:00:00.000Z,2025-07-01T00:00:00.000Z
e3b06460-519c-4150-a70b-c91bfa5580c5,2009-09-21T00:00:00.000Z,2025-07-01T00:00:00.000Z
25e020b5-6246-4e9e-b663-f847f147a747,1994-03-02T00:00:00.000Z,2025-07-01T00:00:00.000Z
6d416a25-7c2c-4570-be08-a64e1ac8f20a,2019-03-15T00:00:00.000Z,2025-07-01T00:00:00.000Z
8b669cdb-f826-4637-8510-afef549ffb04,1989-07-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
0b4428aa-9e23-475f-b07d-b48c8ab48aa9,1987-01-31T00:00:00.000Z,2025-07-01T00:00:00.000Z
0ba82843-d436-49e1-ab2e-57d42fe4aff3,2001-06-11T00:00:00.000Z,2025-07-01T00:00:00.000Z
4d8b68fb-6e3a-45db-876a-63fa55185f8f,1998-09-10T00:00:00.000Z,2025-07-01T00:00:00.000Z
2eff5919-7bfb-4dad-aa42-51b86bc08d0e,2022-09-28T00:00:00.000Z,2025-07-01T00:00:00.000Z
1eaaeb32-83f5-481b-9863-8eee92a6b179,2011-09-05T00:00:00.000Z,2025-07-01T00:00:00.000Z
2b5c72d4-fd96-4e1c-98e9-fcd2785822cb,1979-07-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
76fc2b49-3100-416b-a448-11fc8382384e,1980-04-13T00:00:00.000Z,2025-07-01T00:00:00.000Z
545eb611-f2ba-43c4-a85a-1dad3a7de80a,2001-06-07T00:00:00.000Z,2025-07-01T00:00:00.000Z
be61f06c-7c57-47ec-be32-0ffe0f111fd2,2017-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
e2ccc2aa-1d53-4248-8be6-59c0aa3a7245,1995-10-04T00:00:00.000Z,2025-07-01T00:00:00.000Z
2bc47379-914f-451d-9bb3-f82fd115047e,2024-09-26T00:00:00.000Z,2025-07-01T00:00:00.000Z
e9b9f164-726c-44ca-95a9-32f3e80c211e,2005-01-06T00:00:00.000Z,2025-07-01T00:00:00.000Z
3249af1d-4f02-4de7-b842-e890b3a51b4c,2005-08-29T00:00:00.000Z,2025-07-01T00:00:00.000Z
1c6d5214-57b6-4659-a754-1a1825e31f38,2005-10-24T00:00:00.000Z,2025-07-01T00:00:00.000Z
445839da-b03b-44ff-808b-4e23ebbb539d,2005-10-24T00:00:00.000Z,2025-07-01T00:00:00.000Z
ee6cfc59-8a04-41a9-9929-cd8975ebe175,2003-09-19T00:00:00.000Z,2025-07-01T00:00:00.000Z
6f027b73-bb9a-4e4d-9152-a2731eb9b04f,2001-06-09T00:00:00.000Z,2025-07-01T00:00:00.000Z
169ec4d0-326f-47a0-bb61-9872f22257c5,2008-09-12T00:00:00.000Z,2025-07-01T00:00:00.000Z
